library_name	rRNA_read_count	depth	rRNA_percent
AMP0219_11A_C00012752	922835716	1505148136	61.312
AMP0219_11B_C00012753	1051279084	1700081520	61.837
AMP0219_11C_C00012816	1005867260	1647716852	61.0461
AMP0219_11D_C00012809	1212833816	1800698288	67.3535
AMP0219_11E_C00012808	1128536924	1582675348	71.3056
AMP0219_11F_C00012807	906272068	1426028160	63.5522
AMP0219_11G_C00012791	816793640	1203056956	67.8932
AMP0219_11H_C00012801	829076276	1389607280	59.6626
AMP0219_12A_H3H03HA6	147773672	1371772444	10.7725
AMP0219_12B_H3H03HDO	97326956	1143181392	8.51369
AMP0219_12C_H3H03HDN	116738628	1505192384	7.75573
AMP0219_12D_H3H03HDL	56231340	1162708196	4.83624
AMP0219_12E_H3H03HDK	88863816	1314240988	6.76161
AMP0219_12F_H3H03HDJ	68980652	1429721696	4.82476
E19_tot_FL_v04_3min_200ng_full	15448	100000	15.448
FLDRUG_exp05_Epi_05_Betaine	4799120	39400132	12.1805
FLDRUG_exp05_Epi_05_Max_01	4189668	41024928	10.2125
FLDRUG_exp05_Episcript_2_5	5634400	42114728	13.3787
FLDRUG_exp05_Episcript_exp05	4777736	39925064	11.9668
FLDRUG_exp05_Maxima_01	5282248	39709084	13.3024
FLDRUG_exp05_Stellar_1	4429860	38585924	11.4805
FLDRUG_exp06_Epi_05_Betaine	1062220	39186684	2.71067
FLDRUG_exp06_Epi_05_Max_01	917464	30741732	2.98443
FLDRUG_exp06_Episcript_05	1020676	32734880	3.11801
FLDRUG_exp06_Episcript_2_5	1258436	34385372	3.6598
FLDRUG_exp06_Maxima_01	1129512	35944468	3.14238
FLDRUG_exp06_Stellar_1	1043884	28666768	3.64144
FLDRUG_exp06_lysis_volume_20ul	6605372	40101196	16.4718
FLDRUG_exp06_lysis_volume_50ul	5495580	29492360	18.6339
FL_exp19_BRB	896	100000	0.896
FL_exp19_mRNA_FL_v03	1512	100000	1.512
FL_exp19_mRNA_FL_v03_no_exo	732	100000	0.732
L100424GA01_01	817930952	1501989576	54.4565
L100424GA02_01	584117556	1636964904	35.683
TGB_EK14_1_RGSP24_V2	248	13367036	0.00185531
TGB_EK14_1_RGSP24_V4	732	12874072	0.00568585
TGB_EK14_1_RGSP24_V5	564	11177228	0.00504597
Test_GA01_RiboDep_on_cDNA	18698916	43320468	43.1642
Test_GA01_RiboDep_on_library	539576	40276800	1.33967
